name,price,url,city,params,year,mileage,engine_volume,horse_power,date
"Volvo 850, 1993",150000,https://auto.drom.ru/moscow/volvo/850/883901024.html,Москва,"2.4 л (170 л.с.) | , | бензин | , | автомат | , | передний | , | 67 000 км | 2.4 л (170 л.с.), | бензин, | автомат, | передний, | 67 000 км",,67000.0,2.4,4.0,4 часа назад
"Changan Hunter Plus, 2023",2910000,https://auto.drom.ru/moscow/changan/hunter_plus/884011876.html,Москва,"2.0 л (226 л.с.) | , | бензин | , | АКПП | , | 4WD | , | 26 408 км | 2.0 л (226 л.с.), | бензин, | АКПП, | 4WD, | 26 408 км",,26408.0,2.0,0.0,4 часа назад
"Kia Carnival, 2020",3850000,https://auto.drom.ru/moscow/kia/carnival/882464102.html,Москва,"2.2 л (202 л.с.) | , | дизель | , | АКПП | , | передний | , | 113 200 км | 2.2 л (202 л.с.), | дизель, | АКПП, | передний, | 113 200 км",,113200.0,2.2,2.0,4 часа назад
"Mercedes-Benz C-Class, 2017",2800000,https://auto.drom.ru/moscow/mercedes-benz/c-class/882964236.html,Москва,"2.0 л (184 л.с.) | , | бензин | , | АКПП | , | 4WD | , | 184 000 км | 2.0 л (184 л.с.), | бензин, | АКПП, | 4WD, | 184 000 км",,184000.0,2.0,0.0,4 часа назад
"Лада Гранта, 2024",1100000,https://auto.drom.ru/moscow/lada/granta/881785628.html,Москва,"1.6 л (106 л.с.) | , | бензин | , | механика | , | передний | , | 24 495 км | 1.6 л (106 л.с.), | бензин, | механика, | передний, | 24 495 км",,24495.0,1.6,6.0,4 часа назад
"Jaecoo J7, 2025",3129900,https://auto.drom.ru/moscow/jaecoo/j7/880751604.html,Москва,"1.6 л (150 л.с.) | , | бензин | , | робот | , | 4WD | 1.6 л (150 л.с.), | бензин, | робот, | 4WD",,,1.6,6.0,4 часа назад
"Nissan Juke, 2013",1110000,https://auto.drom.ru/moscow/nissan/juke/880240713.html,Москва,"1.6 л (117 л.с.) | , | бензин | , | вариатор | , | передний | , | 81 017 км | 1.6 л (117 л.с.), | бензин, | вариатор, | передний, | 81 017 км",,81017.0,1.6,6.0,4 часа назад
"Changan Lamore, 2024",2869900,https://auto.drom.ru/moscow/changan/lamore/880300234.html,Москва,"1.5 л (181 л.с.) | , | бензин | , | робот | , | передний | 1.5 л (181 л.с.), | бензин, | робот, | передний",,,1.5,5.0,4 часа назад
"Kia Rio X (X-Line), 2021",1000000,https://auto.drom.ru/moscow/kia/rio_x-line/880499466.html,Москва,"1.4 л (100 л.с.) | , | бензин | , | АКПП | , | передний | , | 194 766 км | 1.4 л (100 л.с.), | бензин, | АКПП, | передний, | 194 766 км",,194766.0,1.4,4.0,4 часа назад
"Haval F7, 2025",3649000,https://auto.drom.ru/moscow/haval/f7/880680773.html,Москва,"2.0 л (192 л.с.) | , | бензин | , | робот | , | 4WD | 2.0 л (192 л.с.), | бензин, | робот, | 4WD",,,2.0,0.0,4 часа назад
